placeId,name,wfc,me_time,date,family,group_study,topPurposes,detectedFacilities,reviewCount
ChIJb7AbQ4jCaC4Rfca5HIdGeoA,My Home Cafe & Karaoke,68,0,0,68,0,wfc|family,,216
ChIJD2Z0WMnDaC4R9BdSFQT3NBo,Nadir Cafe,0,90,0,0,0,me_time,quiet_atmosphere,261
ChIJwR6PSVjnaC4RQyzOYkfQqik,Nakara Foodcourt,100,100,90,100,100,wfc|me_time|family|group_study|date,wifi|power_outlet|mushola|quiet_atmosphere|outdoor_area,1816
ChIJG35cE3ndaC4R7AYazaUMBag,NALA SPACE,0,100,100,100,90,me_time|date|family|group_study,mushola|parking|quiet_atmosphere|outdoor_area,1079
ChIJWbM-i3DnaC4RI_qylbKjHCI,Neno Coffee,0,0,0,0,0,,,1
ChIJVTiI-pPnaC4RN5RnXm8ma0E,Neo Culture Cafe,0,68,0,0,0,me_time,,23
ChIJjy0FCGfpaC4R0iBl0zS3To8,Nesia Coffee Roastery,0,0,0,0,0,,,1
ChIJD8VcuhDDaC4R4yU4zWH85Ck,NgoPri Galeryliez,0,0,0,0,0,,,6
ChIJz8deRJDraC4Rj3k6at-C4Fk,Nieto Coffee,100,100,100,68,0,wfc|me_time|date|family,wifi|power_outlet|quiet_atmosphere|outdoor_area,736
ChIJpUvGLnLnaC4RivtzPshf8KE,Nine Plus - Cafe & Lounge,0,90,100,0,0,date|me_time,quiet_atmosphere,395
ChIJBROPjKznaC4R4HlikdGebgM,NOISE-excel Coffee Place,0,0,0,68,0,family,,80
ChIJJX81H0vmaC4RV9YXmbSgIGs,Nonna Cafe And Resto,0,100,100,100,0,me_time|date|family,quiet_atmosphere,3095
ChIJy1byckjmaC4Rz81S9vRu1LE,North Dago Cafe,0,68,100,0,0,date|me_time,,302
ChIJg_srTZvpaC4RRV69gpShoVw,Nuku Coffee & Eatery,0,68,68,68,68,me_time|date|family|group_study,,58
ChIJa1i4hyrdaC4RHJAI6i7lt7A,Nurona Space,100,100,100,100,100,wfc|me_time|date|family|group_study,wifi|mushola|parking|quiet_atmosphere|outdoor_area,1786
ChIJOfKSi1jnaC4RaMXxClvNGl8,Ny.Lucy Bakery & Roastery,100,68,68,90,0,wfc|family|me_time|date,parking|outdoor_area,902
ChIJW9zxVeTDaC4RWcGPNcLedJc,Nyamil Cafe & Resto,0,0,0,0,0,,,16
ChIJZ397JMzpaC4RepenCEPV-9Q,Ohang Coffee shop,0,0,0,0,0,,,19
ChIJG-RcNM3CaC4RVdRUDFAU4_Y,Oing Kopi & cuci motor,68,100,100,90,68,me_time|date|family|wfc|group_study,wifi|parking|quiet_atmosphere,933
ChIJM2PZF3jdaC4R2f96hyPlzPo,Omah Putri Cafe & Resto / Omah Putih Cafe,0,100,100,100,100,me_time|date|family|group_study,quiet_atmosphere,1503
ChIJ41SlBzHmaC4RA8Ny5lUm79o,Oman cafe,0,68,68,0,0,me_time|date,,35
ChIJg42qZQDDaC4RzGsK3KAEXxo,Omi-Opi Coffee Roastery & Mini Cafe,0,0,0,0,0,,,142
ChIJlxKxhU7daC4RAKkIWugf40Y,One Roastery,0,0,0,0,0,,,3
ChIJ7VATNQDDaC4RKC8WOkApo-o,ONE SOUL Coffee Roastery,0,0,0,0,0,,,1
ChIJLyQBNgDDaC4RPRahjhR8mLo,ONE SOUL Coffee Roastery,0,0,0,0,0,,,4
ChIJsTVbOk7paC4Rht_2Xm6Y04Y,Origamikohi,68,100,100,0,100,me_time|date|group_study|wfc,power_outlet|parking|quiet_atmosphere,812
ChIJ3Y8YPv3naC4R2xqaCCFOz3s,osala coffee,0,100,68,0,90,me_time|group_study|date,quiet_atmosphere,225
ChIJiboZ4grpaC4RGzm65rdhqEI,Osmosis Coffee Shop & Satay,0,100,68,90,100,me_time|group_study|family|date,parking|quiet_atmosphere,650
ChIJx9_Azi_daC4RNU0-gJBVRUk,Our Coffee,0,0,0,0,0,,,11
ChIJm5Q8QwDdaC4RQVtia3sFImw,Overland Coffee,68,100,0,90,90,me_time|family|group_study|wfc,parking|quiet_atmosphere,251
ChIJLfFgQW3CaC4RVw2o-gUqiYc,Owlnest Coffee & Roastery,0,0,0,0,0,,,4
ChIJMSoyQAPpaC4RavJPbjVYS4Y,Pa.Ma Coffee,0,0,0,0,0,,,93
ChIJMYq_bTDmaC4RFmzpkSlYg4U,Pakuan Coffee Shop,0,0,0,0,0,,,166
ChIJO6JJ2UzdaC4RJImCdZiZ7Y8,Palasha Cafe & Resto,90,100,100,90,100,me_time|date|group_study|wfc|family,mushola|parking|quiet_atmosphere,1474
ChIJm3tOxondaC4RSzhqNuFWLDQ,Palma Coffee,0,0,0,0,0,,,18
ChIJY8LgKADdaC4R6bcZ1RgD_qU,Pappy Mommy Cafe,0,0,0,0,0,,,8
